Sl.No,Name of the District,Name of the Stadium with contact details & Location,Contact No,Total Area of Capacity / Capacity as per Discipline,Unit,Ground Suitable for,Infrastructure / Game practicing over there,Game can be run over there
12,Chennai,"YMCA  College  of  Physical  Education Ground, Chennai-35",NA,NA,NA,NA,"Synthetic Hockey Field (On MoU basis with YMCA), Players Changing Rooms, SDAT Sports Hostel for Boys",Hockey
13,Chennai,"SDAT Sports Hostel for Boys, Government Boys Hr.Sec.School, Pudur, Chennai",NA,NA,NA,NA,"SDAT Sports Hostel for Boys, Government Boys Hr.Sec.School, Pudur (Cricket)",Sports Hostel for Boys 
14,Coimbatore,"SDAT Dist. Sports Unit, Nehru Stadium, Coimbatore- 641 001",0422-2380010,6.43,Acres,"Athletics, Football, Volleyball","Open Air Stadium with Gallery Seating Capacity of 3000 Spectators, 400 Mts. Athletic Track (Synthetic), Football Field - 1 (Natural Turf) (with high mast light facilities), Gym Hall, SDAT Sports Hostel for Boys","Athletics, Football, Volleyball"
15,Cuddalore,"SDAT Dist. Sports Unit, Anna Stadium, Cuddalore - 607 003",04142-220590,22.23,Acres,All Disciplines,"400 Mts. Cinder Athletic Track, Football Field - 1 (Mud), Hockey Field - 1 Mud, Basketball Court - 1 (Floodlight) (concrete), Volleyball Court - 2 Mud, Kabaddi Court - 2 Mud, Ball Badminton - 1 Mud, Multi Gym Hall - 1, Walkers Path Concrete - 1200 Mts, An Open Air Boxing Ring - 1, Synthetic Tennis Courts - 2, Cricket field - 1 (Mud), Swimming Pool 25Mts x13 Mts, Badminton Indoor Hall - 3 Courts, Squash Court - 1, Handball Court - 1 (Mud), Stadium Complex, SDAT Sports Hostel for Boys in District Sports complex, Cuddalore, SDAT Sports Hostel for Boys in NLC, Neyveli",All Disciplines
16,Cuddalore,"Mini Stadium at Virudhachalam Taluk, SDAT Dist. Sports Unit, Anna Stadium, Cuddalore - 607 003",04142-220590,5.9,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Football Field - 1 (Mud), Volleyball Court - 2 (Mud), Kabaddi Court - 1, Kho-Kho Court - 1, Handball Court - 1, Throwball Court - 1",All Disciplines
17,Dharmapuri,"SDAT Dist. Sports Unit Stadium, Dharmapuri -636 701","
04342-260936",5.52,Acres,All Disciplines ,"400 Mts. Athletic Track (Mud), Football Field - 1 (Mud), Basketball Court - 1 (Concrete), Volleyball Court - 2 (Mud), Beach Volleyball Court - 1, Ball Badminton Court - 1 (Mud), Boxing Ring - 1 (Concrete), Gym Hall - 1, Swimming Pool 25 Mts x16 Mts, Indoor Badminton Hall - 1 Court with floodlight (wooden), Indoor Badminton Hall - 4 Court with floodlight (wooden), Roller Skating Rink (Concrete), Multipurpose Indoor Stadium, SDAT Sports Hostel for Girls.",All Disciplines
18,Dharmapuri,"Mini Stadium at Harur, SDAT Dist. Sports Unit Stadium, Dharmapuri -636 701","
04342-260936",230,Hectares,All Disciplines ,"400 Mts. Athletic Track (Mud), Basketball Court (Concrete), Volleyball Court (Mud)",All Disciplines
19,Dindigul,"SDAT Dist. Sports Unit (Outdoor & Multipurpose Indoor Sradium), Thadi Kombu Road, Dindigul - 624 004",0451-2461162,12.12,Acres,All Disciplines,"Gallery seating capacity of 500 Nos., 400 Mts. Athletic  Track (Mud), Football Field - 1 (Natural Turf), Football Field - 1 ( For practice) (Mud), Basketball Court - 1 (Floodlight) (Concrete), Ball Badminton Court - 2, Open Air Badminton Court - 5 (Mud), Volleyball Court - 1 (Mud), Kho-Kho Court - 1 (Mud), Kabaddi Court - 1 (Mud), Multi Gym Hall - 1, Swimming Pool 25Mts x 13Mts. - 1, Handball - 1 (Mud), SDAT Sports Hostel for Girls 
&
Seating Capacity 500, Basketball court -1, Volleyball court -2, Table Tennis Court - 9, Shuttle Court - 9, Kabaddi Court - 3, Football Court -  1 (5- A Side), Handball Court - 1, Teakwondo Court, Gymnastics Court, All Indoor Games with floodlight, Accomodation Capacity - 200, Office Room, Meeting Hall, Changing Room, etc.,",All Disciplines
21,Dindigul,"SDAT Malaikottai Mariamman Koil Ground Complex, SDAT Dist. Sports Unit Thadi Kombu Road, Dindigul - 624 004",0451-2461162,3.45,Acres,All Disciplines,"200 Mts Athletic Track - 1 (Floodlight), Basketball Court - 1 (Floodlight), Hockey Court - 1, Volleyball Court - 2 (Mud) (1 with Floodlight), Open Air Badminton Court - 3, Tennikoit Court - 1",All Disciplines
22,Dindigul,"SDAT - NGO Colony Ground, Balakrishnapuram, SDAT Dist. Sports Unit, Thadi Kombu Road, Dindigul - 624 004",0451-2461162,1,Acres,All Disciplines,"Open Air Badminton Court - 2, Volleyball Court - 1, Tennikoit Court -1, Kabaddi Court -1, Yoga Hall",All Disciplines
23,Dindigul,"Mini Stadium at Nilakottai Taluk, SDAT Dist. Sports Unit, Thadi Kombu Road, Dindigul - 624 004",0451-2461162,5,Acres,All Disciplines,"Football Field - 1, Volleyball Court - 1, Basketball Court - 1, Kabaddi Court - 1",All Disciplines
24,Dindigul,"Mini Stadium at Natham, SDAT Dist. Sports Unit, Thadi Kombu Road, Dindigul - 624 004",0451-2461162,5,Acres,All Disciplines,"200 Mts. Athletic Track, Football Field - 1, Basketball Court - 1",All Disciplines
25,Erode,"SDAT Dist. Sports Unit, V.O.C. Park, Erode -638 001",0424-2223157,7.3,Acres,All Discipline,"Gallery Seating Capacity 1000 Spectators (Concrete), 400 Mts. Athletic  Track (Mud), Football Field - 1 (Natural Turf), Basketball Court - 2 (Concrete) (1 with Floodlight), Volleyball Court - 2 (Mud) (1 Floodlight), Kabaddi Court - 1 (Mud), Kho-Kho Court - 1, Ball Badminton court - 1, Indoor Hall for Badminton -1 (Wooden), Gym Hall, Swimming Pool 25 Mts x 13Mts, SDAT Sports Hostel for Girls, Centre of Excellence for Girls, Gymnastics Hall, Karattupalayam.",All Disciplines
26,Kancheepuram,"SDAT Dist. Sports Unit, Anna Stadium, Station road, Kancheepuram - 631501",04112-27222628,17,Acres,All Disciplines,"Gallery Seating Capacity 1000 Spectators, 400 Mts. Athletic Track (Mud), Football Field - 1 (Mud), Hockey Field - 1 (Mud), Basketball Court - 1 (Concrete) (Floodlight), Volleyball Mud Court - 3 (Floodlight -1), Boxing Ring (Concrete), Ball Badminton Court - 1 (Mud), Indoor Squash Hall, Synthetic Tennis Courts - 2 (with Floodlight), Swimming Pool 25Mts x 13 Mts, Baby Swimming Pool 5x3 Mts, Handball Court -1, Open Air Badminton Court - 3 (Mud), Table Tennis Hall, Multi Gym, Open Air Fencing, Indoor Badminton Hall",All Disciplines
27,Kanniyakumari,"SDAT Dist. Sports Unit, Arignar Anna Stadium, Nagercoil -629 001","
04652-232060",9,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Football Field - 1 (Natural Turf), Basketball Court - 1 (Concrete) (Floodlight), Volleyball Court - 2 (Floodlight), Kabaddi Court - 1, Multi Gym Hall - 1, Boxing Ring - 1, Indoor Squash Court - 1, Swimming Pool 25Mts x 13 Mts, Baby Swimming Pool, SDAT Sports Hostel for Girls, Mulitpurpose Indoor Stadium at Konam, Nagercoil",All Disciplines
